#===========================#
# Add 0.0 For Interpolation
# d(n,n)d at 0.0 MeV
#---------------------------#
#En	Theta	Ay
0.0	0.0	0.0
0.0	180.0	0.0
#===========================#
# E.M. Neidel et al.
# Phys. Lett. B552, 29 (2003)
# d(n,n)d at 1.2/1.9 MeV
#---------------------------#
#En	Theta	Ay
1.2	0.0	0.0
#---------------------------#
#En	Theta	Ay
1.2	29.9	0.0004
1.2	58.8	0.0183
1.2	87.0	0.0251
1.2	110.7	0.0205
#---------------------------#
#En	Theta	Ay
1.2	180.0	0.0
1.9	0.0	0.0
#---------------------------#
1.9	44.5	0.0142
1.9	58.8	0.0240
1.9	72.6	0.0320
1.9	87.0	0.0414
1.9	100.5	0.0408
1.9	110.7	0.0370
1.9	119.6	0.0268
#===========================#
#---------------------------#
#En	Theta	Ay
1.9	180.0	0.0
3.01	0.0	0.0
#---------------------------#
#===========================#
# J.E. McAninch et al.
# Phys. Rev. C49, R14 (1994)
# d(n,n)d at 3.01 MeV
#---------------------------#
#En	Theta	Ay
3.01	44.5	0.01505
3.01	65.8	0.02793
3.01	85.7	0.0476
3.01	104.0	0.0596
3.01	120.1	0.0474
3.01	145.7	0.0160
#===========================#
#---------------------------#
#En	Theta	Ay
3.01	180.0	0.0
5.0	0.0	0.0
#---------------------------#
#===========================#
# W. Tornow et al.
# Phys. Rev. Lett. 49, 312 (1982)
# d(n,n)d at 5.0/6.5/8.5 MeV
#---------------------------#
#En	Theta	Ay
5.0	34.00	0.013
5.0	45.30	0.021
5.0	53.67	0.0248
5.0	61.97	0.0244
5.0	70.10	0.032
5.0	78.05	0.0431
5.0	85.09	0.0511
5.0	91.95	0.0598
5.0	98.08	0.0746
5.0	103.95	0.0825
5.0	108.49	0.0852
5.0	113.42	0.0894
5.0	115.55	0.0913
5.0	118.16	0.0911
5.0	120.69	0.0845
5.0	123.15	0.0735
5.0	127.86	0.067
5.0	132.32	0.0565
#---------------------------#
#En	Theta	Ay	dAy
5.0	180.0	0.0	0.0
6.5	0.0	0.0	0.0
#---------------------------#
6.5	9	-0.0082
6.5	12	-0.0007
6.5	16.5	0.001
6.5	23.7	0.0101
6.5	29.97	0.0146
6.5	32	0.0113
6.5	39.5	0.0206
6.5	46.9	0.0238
6.5	54.2	0.0329
6.5	61.5	0.0303
6.5	68.6	0.0374
6.5	75.5	0.041
6.5	82.2	0.0454
6.5	84.9	0.0579
6.5	88.7	0.06
6.5	92.3	0.073
6.5	95	0.0767
6.5	101.4	0.0873
6.5	104.9	0.0927
6.5	106.9	0.1082
6.5	112.9	0.1153
6.5	115	0.1177
6.5	118.1	0.1182
6.5	120.1	0.1126
6.5	123.2	0.1061
6.5	126.1	0.0995
6.5	130.1	0.0948
6.5	135	0.0763
6.5	140.2	0.0517
6.5	145.1	0.0418
6.5	149.8	0.0269
6.5	154.9	0.0213
#---------------------------#
#En	Theta	Ay
6.5	180.0	0.0
8.5	0.0	0.0
#---------------------------#
8.5	44.95	0.0248
8.5	56.25	0.0284
8.5	68.6	0.0328
8.5	80.56	0.0488
8.5	91.89	0.0575
8.5	100.38	0.0827
8.5	106.13	0.1002
8.5	111.69	0.1283
8.5	117.04	0.1432
8.5	120.13	0.1477
8.5	122.65	0.1469
8.5	125.07	0.1443
8.5	129.72	0.1341
8.5	134.09	0.1035
8.5	138.20	0.0854
8.5	145.72	0.0516
#===========================#
#---------------------------#
#En	Theta	Ay
8.5	180.0	0.0
10.0	0.0	0.0
#---------------------------#
#===========================#
# W. Tornow et al.
# Phys. Rev. Lett. 49, 312 (1982)
# d(n,n)d at 10.0 MeV
#---------------------------#
#En	Theta	Ay
10.0	30.43	0.0185
10.0	37.34	0.0223
10.0	44.55	0.0239
10.0	58.87	0.0318
10.0	72.65	0.0378
10.0	79.21	0.0400
10.0	85.60	0.0447
10.0	91.90	0.0514
10.0	97.88	0.0631
10.0	103.70	0.0844
10.0	109.30	0.1153
10.0	114.76	0.1325
10.0	119.96	0.1648
10.0	124.92	0.1702
10.0	129.62	0.1483
10.0	134.08	0.1223
10.0	138.15	0.1119
10.0	145.74	0.0645
#===========================#
#---------------------------#
#En	Theta	Ay	
10.0	180.0	0.0
12.0	0.0	0.0
#---------------------------#
#===========================#
# C.R. Howell et al.
# Nucl Inst. B56/57, 459 (1991)
# d(n,n)d at 12.0 MeV
#---------------------------#
#En	Theta	Ay
12.0	24	0.010
12.0	30.1	0.022
12.0	37.9	0.025
12.0	44.9	0.035
12.0	51.9	0.036
12.0	59	0.036
12.0	65.9	0.036
12.0	72.3	0.034
12.0	79.3	0.031
12.0	85.8	0.040
12.0	92	0.037
12.0	98.1	0.049
12.0	104	0.069
12.0	109.6	0.100
12.0	115	0.121
12.0	120.2	0.173
12.0	125.1	0.192
12.0	129.9	0.186
12.0	134.1	0.154
12.0	138.2	0.130
12.0	142.2	0.098
12.0	146	0.074
12.0	149.3	0.059
12.0	155.8	0.040
#===========================#
#---------------------------#
#En	Theta	Ay
12.0	180.0	0.0
14.2	0.0	0.0
#---------------------------#
#===========================#
# M. Preiswerk et al.
# Nucl. Phys. A263, 276 (1976)
# d(n,n)d at 14.2 MeV
#---------------------------#
#En	Theta	Ay
14.2	34	0.030
14.2	50	0.030
14.2	63.5	0.015
14.2	75	0.038
14.2	82.5	0.076
14.2	90	0.116
#14.2	100.5	0.272
14.2	110	0.162
14.2	119	0.108
#14.2	130	0.095
#===========================#
#---------------------------#
#En	Theta	Ay
14.2	180.0	0.0
14.3	0.0	0.0
#---------------------------#
#===========================#
# R. Fischer et al.
# Nucl. Phys. A282, 189 (1977)
# d(n,n)d at 14.3 MeV
#---------------------------#
#En	Theta	Ay
#14.3	-136.4	0.191
#14.3	-127.7	0.213
14.3	44.5	0.023
14.3	64.4	0.032
14.3	80.5	0.028
14.3	127.7	0.213
14.3	136.4	0.191
14.3	145.0	0.110
#===========================#
#---------------------------#
#En	Theta	Ay
14.3	180.0	0.0
16.0	0.0	0.0
#---------------------------#
#===========================#
# T. Fujita et al.
# AIP Conf. Proc. 570, 709 (2001)
# d(n,n)d at 16.0 MeV
#---------------------------#
#En	Theta	Ay	
16.0	55.3	0.0678	
16.0	65.8	0.0691	
16.0	79.3	0.0504	
16.0	92.0	0.0417	
16.0	103.8	0.0392	
16.0	109.4	0.0666	
16.0	111.9	0.0828	
16.0	119.8	0.1512	
16.0	127.0	0.2620	
16.0	129.5	0.2471	
16.0	131.8	0.2583	
16.0	137.9	0.1936	
16.0	143.8	0.1774	
16.0	149.4	0.1151	
#===========================#
#---------------------------#
#En	Theta	Ay
16.0	180.0	0.0
19.0	0.0	0.0
#---------------------------#
#===========================#
# G.J. Weisel et al.
# Phys. Rev. C81 (2010)
# d(n,n)d at 19.0 MeV
#---------------------------#
#En	Theta	Ay
19.0	46.7	0.0356
19.0	57.4	0.0339
19.0	67.9	0.0236
19.0	78.0	0.0079
19.0	87.7	-0.0109
19.0	96.9	-0.0292
19.0	101.1	-0.0352
19.0	105.7	-0.0302
19.0	113.9	-0.0045
19.0	119.1	0.0415
19.0	124.6	0.1164
19.0	131.5	0.2309
19.0	136.2	0.2031
19.0	141.0	0.1581
19.0	146.6	0.1114
19.0	152.0	0.0817
#===========================#
#---------------------------#
#En	Theta	Ay
19.0	180.0	0.0
21.0	0.0	0.0
#===========================#
